"employee_id","first_name","last_name","moonville_id","gender","birth_date","department_id","start_date","salary","is_supervisor"
48,"Sophia","Brooks","Q9258","F","1988-02-18",7,"2023-03-22",37201,"N"
50,"Georgia","James","D0961","F","1975-11-09",2,"2010-08-12",49194,"N"
51,"Barbara","Jones","I2418","F","1994-09-01",9,"2024-08-01",40160,"N"
52,"Tammy","Hall","B6873","F","1963-09-30",5,"2016-07-03",50187,"N"
53,"Thomas","Allen","R8122","M","2002-12-21",9,"2018-02-10",44837,"N"
54,"Suzanne","Campbell","X1238","F","1970-05-06",5,"2020-11-20",46058,"N"
55,"Nannie","Cox","K6522","F","1948-04-01",2,"2022-07-30",39809,"N"
56,"Henry","Walker","I1394","M","1994-01-01",9,"2006-07-15",54105,"N"
57,"Samuel","Turner","G3402","M","1970-03-22",2,"2016-09-29",45241,"N"
58,"Alyssa","Johnson","Q7613","F","1972-08-25",2,"2024-02-06",38173,"N"
60,"Harry","Morgan","T1284","M","1980-01-04",6,"2013-09-14",54367,"N"
61,"Ronald","Martin","V7146","M","1968-09-17",8,"2018-01-16",35121,"N"
62,"Loretta","Reed","H6123","F","1976-11-21",9,"2006-06-29",54919,"N"
63,"Raymond","Long","G3311","M","1980-03-05",6,"2021-11-20",49210,"N"
64,"Chloe","Sullivan","F0846","F","1989-02-09",2,"2014-04-24",46277,"N"
65,"Emily","Bennett","R1185","F","1989-01-12",7,"2011-11-02",45870,"N"
66,"Amy","Richardson","M2545","F","2004-12-13",4,"2012-07-07",60503,"N"
67,"Bailey","James","G9052","F","2001-07-23",7,"2014-04-20",43159,"N"
68,"Rosa","Reed","E2378","F","1998-01-06",3,"2020-09-04",51223,"N"
69,"Francis","Carter","O1131",NULL,"1999-09-06",3,"2025-01-14",49193,"N"
4,"Keith","Morales","F5104","M","1998-09-25",8,"2008-01-25",53963,"Y"
9,"Richard","Morgan","I7122","M","1954-02-15",4,"2006-03-30",74687,"Y"
25,"Raymond","Wilson","W5447","M","1994-02-09",6,"2006-11-21",69722,"Y"
26,"Katie","Mitchell","F5198","F","2005-12-17",3,"2005-06-11",73717,"Y"
31,"Jose","Johnson","D9332","M","1992-04-19",1,"2005-12-11",58745,"Y"
34,"Wanda","Moore","I3409","F","1990-07-19",5,"2011-08-15",64184,"Y"
47,"Erika","Bell","N3812","F","1958-09-16",9,"2006-07-06",65144,"Y"
49,"Leonard","Lopez","Y8387","M","1957-05-01",7,"2009-05-29",56607,"Y"
59,"Eleanor","Robinson","E1964","F","1992-04-23",2,"2005-11-26",62385,"Y"
